#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:91 out:91 type:P dur:2 cpbdur:2 q:29.03 aq:25.23 tex:20953 mv:5738 misc:397 imb:299 pmb:256 smb:365 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:29.03 aq:25.57 tex:21353 mv:5679 misc:368 imb:389 pmb:202 smb:329 d:- ref:0 ;
in:93 out:93 type:i dur:2 cpbdur:2 q:26.12 aq:18.95 tex:23977 mv:11790 misc:121 imb:920 pmb:0 smb:0 d:- ref:;
in:94 out:94 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:3 mv:12 misc:161 imb:1 pmb:0 smb:919 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:29.03 aq:22.54 tex:11924 mv:3844 misc:384 imb:489 pmb:62 smb:369 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:29.03 aq:20.10 tex:12100 mv:5227 misc:257 imb:642 pmb:136 smb:142 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:29.03 aq:20.63 tex:6857 mv:3405 misc:594 imb:217 pmb:173 smb:530 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:29.03 aq:19.26 tex:9801 mv:3936 misc:495 imb:252 pmb:196 smb:472 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:29.03 aq:17.93 tex:322 mv:126 misc:296 imb:4 pmb:16 smb:900 d:- ref:0 ;
in:101 out:100 type:P dur:2 cpbdur:2 q:29.03 aq:22.32 tex:5910 mv:2249 misc:489 imb:129 pmb:106 smb:685 d:- ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:29.03 aq:23.87 tex:1628 mv:1562 misc:466 imb:22 pmb:135 smb:763 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:29.03 aq:18.57 tex:13108 mv:4323 misc:193 imb:709 pmb:83 smb:128 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:29.03 aq:19.97 tex:10579 mv:2877 misc:520 imb:129 pmb:153 smb:638 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:29.03 aq:16.81 tex:96 mv:45 misc:211 imb:1 pmb:5 smb:914 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:29.03 aq:20.57 tex:8778 mv:2953 misc:589 imb:122 pmb:172 smb:626 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:29.03 aq:20.88 tex:9583 mv:2978 misc:519 imb:103 pmb:171 smb:646 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:29.03 aq:22.98 tex:9319 mv:3105 misc:592 imb:136 pmb:176 smb:608 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:29.03 aq:18.77 tex:23072 mv:4918 misc:202 imb:669 pmb:122 smb:129 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:29.03 aq:19.56 tex:167 mv:95 misc:258 imb:1 pmb:11 smb:908 d:- ref:0 ;
in:110 out:110 type:P dur:2 cpbdur:2 q:29.03 aq:20.60 tex:10032 mv:2635 misc:541 imb:126 pmb:185 smb:609 d:- ref:0 ;
in:112 out:111 type:P dur:2 cpbdur:2 q:29.03 aq:20.17 tex:12718 mv:3199 misc:523 imb:158 pmb:181 smb:581 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:29.03 aq:22.95 tex:5179 mv:2224 misc:501 imb:18 pmb:191 smb:711 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:29.03 aq:20.87 tex:16150 mv:3046 misc:508 imb:132 pmb:163 smb:625 d:- ref:0 ;
in:114 out:114 type:P dur:2 cpbdur:2 q:29.03 aq:19.18 tex:77 mv:47 misc:196 imb:0 pmb:6 smb:914 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:29.03 aq:20.09 tex:21825 mv:5141 misc:250 imb:628 pmb:151 smb:141 d:- ref:0 ;
