#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:85 out:82 type:P dur:2 cpbdur:2 q:29.03 aq:23.56 tex:19807 mv:3380 misc:725 imb:36 pmb:397 smb:487 d:- ref:0 ;
in:83 out:83 type:B dur:2 cpbdur:2 q:29.03 aq:24.92 tex:1192 mv:501 misc:683 imb:0 pmb:166 smb:754 d:- ref:0 ;
in:82 out:84 type:b dur:2 cpbdur:2 q:29.03 aq:27.31 tex:342 mv:313 misc:545 imb:0 pmb:111 smb:809 d:- ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:29.03 aq:27.07 tex:518 mv:83 misc:263 imb:0 pmb:21 smb:899 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:29.03 aq:21.92 tex:28259 mv:3559 misc:646 imb:39 pmb:459 smb:422 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:29.03 aq:21.30 tex:29258 mv:3180 misc:650 imb:46 pmb:457 smb:417 d:- ref:0 ;
in:91 out:88 type:P dur:2 cpbdur:2 q:29.03 aq:21.42 tex:27336 mv:3132 misc:580 imb:44 pmb:457 smb:419 d:- ref:0 ;
in:89 out:89 type:B dur:2 cpbdur:2 q:29.03 aq:24.66 tex:1614 mv:669 misc:685 imb:1 pmb:188 smb:731 d:- ref:0 ;
in:88 out:90 type:b dur:2 cpbdur:2 q:29.03 aq:25.27 tex:106 mv:29 misc:193 imb:0 pmb:7 smb:913 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:29.03 aq:27.52 tex:556 mv:345 misc:435 imb:1 pmb:71 smb:848 d:- ref:0 ;
in:95 out:92 type:P dur:2 cpbdur:2 q:29.03 aq:24.10 tex:11940 mv:1325 misc:823 imb:13 pmb:307 smb:600 d:- ref:0 ;
in:93 out:93 type:B dur:2 cpbdur:2 q:29.03 aq:25.09 tex:1599 mv:265 misc:592 imb:0 pmb:111 smb:809 d:- ref:0 ;
in:92 out:94 type:b dur:2 cpbdur:2 q:29.03 aq:23.98 tex:181 mv:107 misc:296 imb:0 pmb:25 smb:895 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:29.03 aq:21.18 tex:88 mv:21 misc:187 imb:0 pmb:6 smb:914 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:29.03 aq:23.12 tex:20979 mv:2101 misc:720 imb:34 pmb:400 smb:486 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:29.03 aq:22.19 tex:22116 mv:1797 misc:679 imb:27 pmb:450 smb:443 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:29.03 aq:21.67 tex:12140 mv:848 misc:812 imb:5 pmb:351 smb:564 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:29.03 aq:22.27 tex:3600 mv:358 misc:730 imb:2 pmb:154 smb:764 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:29.03 aq:21.95 tex:3912 mv:400 misc:704 imb:2 pmb:152 smb:766 d:- ref:0 ;
