#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.03 aq:13.61 tex:12848 mv:3296 misc:112 imb:920 pmb:0 smb:0 d:- ref:;
in:117 out:118 type:b dur:2 cpbdur:2 q:29.03 aq:24.26 tex:15925 mv:4051 misc:528 imb:97 pmb:267 smb:556 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:29.03 aq:22.48 tex:124 mv:32 misc:212 imb:0 pmb:7 smb:913 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:29.03 aq:22.21 tex:31086 mv:6044 misc:166 imb:690 pmb:227 smb:3 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:29.03 aq:23.40 tex:23078 mv:4129 misc:633 imb:227 pmb:248 smb:445 d:- ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:29.03 aq:23.21 tex:32412 mv:5521 misc:427 imb:373 pmb:241 smb:306 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:29.03 aq:22.19 tex:39353 mv:5438 misc:481 imb:334 pmb:233 smb:353 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:29.03 aq:19.79 tex:276 mv:117 misc:295 imb:4 pmb:16 smb:900 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:29.03 aq:24.48 tex:30385 mv:4682 misc:453 imb:339 pmb:173 smb:408 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:29.03 aq:22.58 tex:28610 mv:5997 misc:209 imb:744 pmb:166 smb:10 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:29.03 aq:20.97 tex:29207 mv:4747 misc:430 imb:463 pmb:143 smb:314 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:29.03 aq:20.89 tex:20748 mv:3758 misc:558 imb:213 pmb:232 smb:475 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:29.03 aq:21.25 tex:433 mv:117 misc:330 imb:5 pmb:21 smb:894 d:- ref:0 ;
in:131 out:130 type:P dur:2 cpbdur:2 q:29.03 aq:22.84 tex:25247 mv:3912 misc:465 imb:235 pmb:216 smb:469 d:- ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:29.03 aq:24.91 tex:14277 mv:3848 misc:571 imb:61 pmb:294 smb:565 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:29.03 aq:21.21 tex:33586 mv:6170 misc:148 imb:749 pmb:171 smb:0 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:29.03 aq:21.12 tex:24330 mv:4436 misc:650 imb:226 pmb:254 smb:440 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:29.03 aq:21.70 tex:285 mv:89 misc:266 imb:1 pmb:15 smb:904 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:29.03 aq:22.58 tex:22058 mv:4279 misc:543 imb:198 pmb:249 smb:473 d:- ref:0 ;
in:137 out:136 type:P dur:2 cpbdur:2 q:29.03 aq:24.19 tex:29653 mv:4365 misc:494 imb:206 pmb:204 smb:510 d:- ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:29.03 aq:25.53 tex:17434 mv:4367 misc:431 imb:53 pmb:256 smb:611 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:29.03 aq:20.98 tex:38174 mv:5927 misc:251 imb:561 pmb:204 smb:155 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:29.03 aq:24.24 tex:330 mv:132 misc:298 imb:3 pmb:19 smb:898 d:- ref:0 ;
